
Host: wheat-r21-cp4a

Timers On : Tue May 12 15:00:23 2026
Timers Off: Tue May 12 19:18:02 2026

Wall Time:    15458.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form D                          :    525.567u     27.883s      3.699w   3079 calls
HF: DIIS                            :  32442.250u   1627.967s    224.577w   2927 calls
HF: Form C                          :  42858.050u   1791.783s    292.496w   2927 calls
Grad: V T Perturb                   :   9245.317u    386.700s     63.126w    158 calls
Grad: S                             :   4517.750u    187.950s     30.830w    158 calls
Grad: JK                            : 135878.233u   2217.050s   1445.397w    158 calls
| JKGrad: Amn                       :  87977.500u   1035.483s    896.052w    158 calls
| | Libint2ERI::Libint2ERI          :   4455.583u    257.450s     44.572w    158 calls
| JKGrad: Awmn                      :      0.283u      0.017s      0.002w    158 calls
| JKGrad: AB                        :  13320.183u    374.600s     90.124w    158 calls
| | Libint2ERI::Libint2ERI          :    998.567u     60.800s      7.352w  14536 calls
| JKGrad: UV                        :    985.367u     53.383s      6.806w    158 calls
| JKGrad: ABx                       :   1743.100u     72.717s     11.901w    158 calls
| | Libint2ERI::Libint2ERI          :     16.267u      1.100s      0.113w    158 calls
| JKGrad: Amnx                      :  31609.833u    665.800s    438.817w    158 calls
| | Libint2ERI::Libint2ERI          :   4451.733u    255.717s     44.720w    158 calls
Grad: XC                            : 207298.317u    436.433s   1513.366w    158 calls
| Properties                        :  68299.056p                         1386857 calls
| Functional                        :    385.489p                         1386857 calls
| V_xc gradient                     :  52256.918p                         1386857 calls

**************************************************************************************
