
Host: wheat-r10-cp43b

Timers On : Fri May 15 21:35:17 2026
Timers Off: Fri May 15 23:55:15 2026

Wall Time:     8397.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | DFH: compute_JK()               : 306025.383u   9618.633s   2077.475w   6896 calls
| | | DFH: Grabbing AOs             :     26.733u      1.567s      0.105w   6896 calls
| | | DFH: compute_J                : 192932.200u   1809.483s   1284.724w   6896 calls
| JK: AO2USO                        :     13.317u      1.083s      0.087w   6896 calls
HF: Form F                          :    853.633u     44.600s      6.021w   6896 calls
HF: Form D                          :    635.333u     29.900s      4.766w   6896 calls
HF: DIIS                            :  41678.350u   2199.067s    289.009w   6678 calls
HF: Form C                          :  45470.667u   1861.350s    310.128w   6678 calls
Grad: V T Perturb                   :  15269.567u    700.800s    104.633w    236 calls
Grad: S                             :   7459.667u    338.217s     51.092w    236 calls
Grad: JK                            : 111140.983u   2337.283s   1039.204w    236 calls
| JKGrad: Amn                       :  35545.650u    785.083s    456.295w    236 calls
| | Libint2ERI::Libint2ERI          :   6607.850u    394.500s     52.487w    236 calls
| JKGrad: Awmn                      :      0.400u      0.017s      0.003w    236 calls
| JKGrad: AB                        :  40052.550u    879.583s    268.702w    236 calls
| | Libint2ERI::Libint2ERI          :   1774.800u    107.933s     12.537w  21712 calls
| JKGrad: UV                        :      0.317u      0.017s      0.002w    236 calls
| JKGrad: ABx                       :   2925.750u    109.650s     19.899w    236 calls
| | Libint2ERI::Libint2ERI          :     34.933u      2.050s      0.243w    236 calls
| JKGrad: Amnx                      :  32360.633u    547.250s    292.517w    236 calls
| | Libint2ERI::Libint2ERI          :   6576.500u    392.850s     52.121w    236 calls
Grad: XC                            :  64178.583u    561.383s    456.861w    236 calls
| Properties                        :  26492.197p                         2183584 calls
| Functional                        :    280.473p                         2183584 calls
| V_xc gradient                     :   6503.004p                         2183584 calls

**************************************************************************************
