
Host: wheat-r4-cp39a

Timers On : Fri May 15 21:35:17 2026
Timers Off: Fri May 15 23:59:05 2026

Wall Time:     8628.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form G                          : 685385.300u   9857.800s   4574.125w   6779 calls
| RV: Form V                        : 374832.800u   1634.883s   2474.780w   6779 calls
| | Properties                      :  39691.404p                         64298054 calls
| | Functional                      :   7658.265p                         64298054 calls
| | V_xc                            : 167836.937p                         64298054 calls
| JK: D                             :    550.183u     23.267s      4.056w   6779 calls
| JK: USO2AO                        :     26.650u      1.400s      0.171w   6779 calls
| JK: JK                            : 307822.033u   8064.367s   2080.516w   6779 calls
| | DFH: compute_JK()               : 307377.450u   8037.967s   2077.424w   6779 calls
| | | DFH: Grabbing AOs             :     25.817u      1.483s      0.104w   6779 calls
| | | DFH: compute_J                : 206401.650u   1817.617s   1374.222w   6779 calls
| JK: AO2USO                        :     11.517u      0.733s      0.077w   6779 calls
HF: Form F                          :    829.733u     43.967s      5.852w   6779 calls
HF: Form D                          :    629.283u     30.800s      4.672w   6779 calls
HF: DIIS                            :  43314.600u   2305.300s    300.111w   6555 calls
HF: Form C                          :  47181.467u   1832.683s    321.114w   6555 calls
Grad: V T Perturb                   :  15379.950u    720.483s    105.490w    238 calls
Grad: S                             :   7540.333u    347.400s     51.682w    238 calls
Grad: JK                            :  98675.050u   2305.717s    956.998w    238 calls
| JKGrad: Amn                       :  37900.317u    809.917s    471.248w    238 calls
| | Libint2ERI::Libint2ERI          :   6649.917u    405.750s     50.020w    238 calls
| JKGrad: Awmn                      :      0.350u      0.050s      0.003w    238 calls
| JKGrad: AB                        :  23125.933u    795.517s    156.949w    238 calls
| | Libint2ERI::Libint2ERI          :   1800.700u    113.250s     12.781w  21896 calls
| JKGrad: UV                        :      0.283u      0.033s      0.002w    238 calls
| JKGrad: ABx                       :   2878.733u    109.300s     19.581w    238 calls
| | Libint2ERI::Libint2ERI          :     31.317u      2.067s      0.216w    238 calls
| JKGrad: Amnx                      :  34519.617u    575.183s    307.469w    238 calls
| | Libint2ERI::Libint2ERI          :   6617.800u    404.250s     49.614w    238 calls
Grad: XC                            :  72303.633u    605.167s    519.596w    238 calls
| Properties                        :  28918.832p                         2257448 calls
| Functional                        :    287.042p                         2257448 calls
| V_xc gradient                     :   8661.415p                         2257448 calls

**************************************************************************************
