
Host: wheat-r17-cp4a

Timers On : Fri May 15 21:35:24 2026
Timers Off: Fri May 15 23:42:43 2026

Wall Time:     7638.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | DFH: Grabbing AOs             :     21.150u      1.367s      0.090w   5958 calls
| | | DFH: compute_J                : 166957.617u   1539.033s   1111.319w   5958 calls
| JK: AO2USO                        :      8.600u      0.250s      0.055w   5958 calls
HF: Form F                          :    654.450u     35.283s      4.639w   5958 calls
HF: Form D                          :    465.333u     21.400s      3.631w   5958 calls
HF: DIIS                            :  32875.400u   1751.933s    227.931w   5740 calls
HF: Form C                          :  42408.283u   1539.083s    287.915w   5740 calls
Grad: V T Perturb                   :  15614.817u    721.000s    107.028w    239 calls
Grad: S                             :   7635.550u    347.833s     52.310w    239 calls
Grad: JK                            :  97348.967u   2286.683s    946.856w    239 calls
| JKGrad: Amn                       :  36372.400u    800.650s    461.536w    239 calls
| | Libint2ERI::Libint2ERI          :   6693.417u    403.300s     53.622w    239 calls
| JKGrad: Awmn                      :      0.433u      0.067s      0.003w    239 calls
| JKGrad: AB                        :  24746.367u    808.017s    167.643w    239 calls
| | Libint2ERI::Libint2ERI          :   1733.600u    108.100s     12.262w  21988 calls
| JKGrad: UV                        :      0.283u      0.033s      0.002w    239 calls
| JKGrad: ABx                       :   2850.250u    103.267s     19.349w    239 calls
| | Libint2ERI::Libint2ERI          :     33.767u      2.133s      0.234w    239 calls
| JKGrad: Amnx                      :  33128.200u    559.100s    296.571w    239 calls
| | Libint2ERI::Libint2ERI          :   6660.333u    401.550s     53.273w    239 calls
Grad: XC                            :  71097.950u    569.867s    501.024w    239 calls
| Properties                        :  28527.373p                         2210462 calls
| Functional                        :    286.410p                         2210462 calls
| V_xc gradient                     :   8707.679p                         2210462 calls

**************************************************************************************
